year,fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,int_volume,total_sales
2034,hybrid,suv,44.282,7.6,953,46.22,5,8.87061877974903,1.4,437,0,1.5,181,1904.32618137301
2034,hybrid,truck,29.472,10.4,667,53.01,5,7.73438973778532,1.3,437,0,1.5,131,184.151202735348
2034,phev,car,42.162,6.5,1810,42.58,487,4.8,26.8,275.31,7500,7.5,113,1228.28342321408
2034,phev,suv,32.757,5.6,750,36.63,487,5.5,26.8,275.31,7500,7.5,163,38933.4602611866
2034,phev,truck,35.557,8,263,30.62,487,6.8,26.8,275.31,7500,7.5,126,1211.32270705993
2035,conv,car,23.29,7.9,610,31.31,5,13.0948578728841,0,437,0,0,116,99349.2657499606
2035,conv,suv,33.564,7.3,580,25.42,5,16.1290322580645,0,437,0,0,172,67483.4101076147
2035,conv,truck,32.82,7.2,555,20.25,5,20.2469135802469,0,437,0,0,142,10014.4119849319
2035,conv,van,22.95,10.3,480,31.4,5,13.0573248407643,0,437,0,0,286,1958.85279554292
2035,ev,car,45.606,5.8,321,123.349,685,4,87.7,196.65,7500,0,112,7910.40188802653
2035,ev,suv,47.061,4.5,338,130.776,680,3.8,87.1,196.65,7500,0,162,78299.7201634301
2035,ev,truck,53.317,5.8,252,70.829,937,7,119.9,196.65,7500,0,136,673.745545324078
2035,hybrid,car,33.645,8.8,861,49.51,5,8.28115532215714,0.5,437,0,1.5,116,6402.63583443289
2035,hybrid,suv,43.569,8.7,628,40.04,5,10.2397602397602,1.5,437,0,1.5,132,1911.12254266129
2035,hybrid,truck,29.457,10.4,667,53.52,5,7.66068759342302,1.3,437,0,1.5,131,177.885519259889
2035,phev,car,39.023,5.4,668,37.63,487,5.8,26.8,275.31,7500,7.5,120,1453.66122836172
2035,phev,suv,32.715,5.6,750,36.97,487,5.4,26.8,275.31,7500,7.5,163,37789.7413967239
2035,phev,truck,35.516,8,263,30.89,487,6.7,26.8,275.31,7500,7.5,126,1172.93589275794
2036,conv,car,23.29,7.9,610,31.42,5,13.049013367282,0,437,0,0,116,97927.5600130523
2036,conv,suv,33.564,7.3,580,25.51,5,16.0721285770286,0,437,0,0,172,65420.2914648992
2036,conv,truck,32.82,7.2,555,20.32,5,20.1771653543307,0,437,0,0,142,9266.61686712887
2036,conv,van,22.95,10.3,480,31.52,5,13.007614213198,0,437,0,0,286,1905.04331782915
2036,ev,car,45.536,5.8,321,123.349,685,4,87.7,196.65,7500,0,112,7720.12894199622
